id_devolucion,id_venta,fecha_devolucion,motivo,importe_devuelto
D50000,V312833,1970-01-08,Producto vencido,88580.0
D50001,V204778,2024-11-01,Cambio de opinión,10684.0
D50002,V313310,1970-01-11,Tamaño equivocado,13249.0
D50003,V202722,2024-09-13,Llegó frío ,29586.0
D50004,V205449,2024-10-27,SABOR INCORRECTO,110111.0
D50005,V303455,1970-01-13,Tamaño equivocado ,8.0
D50006,V203489,2024-03-15,Cambio de opinión,32868.0
D50007,V300223,1970-01-08,Cambio de opinión,10176.0
D50008,V305688,2025-11-20,Producto defectuoso,69757.0
D50009,V104107,2023-09-06,Llegó FRIO,16325.0
D50010,V214475,2024-08-29,Cliente insatisfecho,56532.0
D50011,V213605,2024-12-24,Cliente insatisfecho,90031.0
D50012,V107442,2023-02-20,Llegó tibio,104599.0
D50013,V212296,2024-01-17,Llegó tibio ,28979.0
D50014,V204374,2024-04-23,Producto vencido ,50423.0
D50015,V312272,2025-10-18,Llegó tibio,6825.0
D50016,V308278,1970-01-09,Producto vencido,43179.0
D50017,V101421,2023-11-13,Cliente insatisfecho,17687.0
D50018,V305519,2025-11-06,LLEGÓ FRÍO,39814.0
D50019,V313699,1970-01-10,SABOR INCORRECTO,3.0
D50020,V103024,2023-11-18,Error en pedido,165716.0
D50021,V212964,2024-11-18,Sabor incorrecto,8600.0
D50022,V205502,2024-12-21,Llegó tibio,6168.0
D50023,V208732,2024-02-24,Llegó tibio,24328.0
D50024,V216199,2024-01-21,Sabor incorrecto,46253.0
D50025,V111540,2023-10-09,Tamaño equivocado,18250.0
D50026,V200560,2024-09-14,Sabor incorrecto,18484.0
D50027,V313179,2025-06-11,Llegó frío,10165.0
D50028,V300446,1970-01-14,Error en pedido,22062.0
D50029,V110943,2023-09-03,Error en pedido,77239.0
D50030,V314108,1970-01-04,Cliente insatisfecho,4.0
D50031,V204368,2024-04-06,PRODUCTO DEFECTUOSO,7890.0
D50032,V110407,2023-03-26,Cambio de opinión,20658.0
D50033,V318731,2025-06-23,Llegó tibio,135124.0
