numero,id_empleado,ubicacion,activo
101,8,Pasillo D - Mantenimiento,1
102,1,Pasillo D - Mantenimiento,1
103,13,Pasillo C - Seguridad,1
104,5,Pasillo D - Mantenimiento,1
105,19,Pasillo A - Operaciones,1
106,16,Pasillo C - Seguridad,1
107,4,Pasillo B - Ingeniería,1
108,11,Pasillo F - Externos,1
109,20,Pasillo A - Operaciones,1
110,7,Pasillo G - Suministros,1
111,6,Pasillo E - Gerencia,1
112,14,Pasillo A - Operaciones,1
113,17,Pasillo A - Operaciones,1
114,9,Pasillo B - Ingeniería,1
115,12,Pasillo A - Operaciones,1
116,15,Pasillo A - Operaciones,1
117,18,Pasillo B - Ingeniería,1
118,10,Pasillo G - Suministros,1
119,2,Pasillo H - Investigación,1
120,3,Pasillo G - Suministros,1
121,,Pasillo B - Ingeniería,0
122,,Pasillo E - Gerencia,0
123,,Pasillo H - Investigación,0
124,,Pasillo C - Seguridad,0
125,,Pasillo D - Mantenimiento,0
126,,Pasillo A - Operaciones,0
127,,Pasillo E - Gerencia,0
128,,Pasillo G - Suministros,0
129,,Pasillo B - Ingeniería,0
130,,Pasillo E - Gerencia,0
131,,Pasillo C - Seguridad,0
132,,Pasillo G - Suministros,0
133,,Pasillo B - Ingeniería,0
134,,Pasillo B - Ingeniería,0
135,,Pasillo E - Gerencia,0
136,,Pasillo B - Ingeniería,0
137,,Pasillo B - Ingeniería,0
138,,Pasillo H - Investigación,0
139,,Pasillo D - Mantenimiento,0
140,,Pasillo D - Mantenimiento,0
