id_empleado,id_turno,id_reactor,radiacion_msv,acumulado_anual,zona,equipo_proteccion,alerta_limite
12,612,2,0.0128,0.0128,Planta Principal,Completo,0
14,612,2,0.0114,0.0114,Zona Caliente,Básico,0
3,612,3,0.0348,0.0348,Zona Técnica,Ninguno,0
9,59,2,0.0086,0.0086,Zona Caliente,Máximo,0
8,180,2,0.0101,0.0101,Reactor Core,Completo,0
6,656,4,5.7541,5.7541,Zona Caliente,Completo,0
12,656,2,0.0152,0.0152,Mantenimiento,Completo,0
4,507,4,3.9153,3.9153,Perímetro,Máximo,0
6,450,4,3.4089,3.4089,Sala Control,Completo,0
5,450,1,0.0175,0.0175,Perímetro,Completo,0
16,11,4,3.9572,3.9572,Zona Técnica,Completo,0
18,11,1,0.0096,0.0096,Planta Principal,Básico,0
9,11,4,4.3737,4.3823,Reactor Core,Completo,0
9,207,2,0.0138,0.0138,Zona Caliente,Completo,0
8,207,1,0.0162,0.0263,Zona Técnica,Básico,0
18,207,1,0.0142,0.0142,Planta Principal,Completo,0
9,673,3,0.0362,0.0362,Sala Control,Completo,0
18,673,2,0.0123,0.0123,Planta Principal,Completo,0
9,531,2,0.0104,0.0104,Sala Control,Completo,0
5,293,2,0.0125,0.0125,Mantenimiento,Completo,0
18,200,1,0.0162,0.0304,Zona Caliente,Completo,0
12,200,4,3.2693,3.2693,Planta Principal,Completo,0
3,35,1,0.0154,0.0154,Mantenimiento,Básico,0
4,614,2,0.0149,3.9302,Reactor Core,Básico,0
6,614,2,0.0103,0.0103,Perímetro,Básico,0
5,614,5,0.0055,0.0055,Sala Control,Básico,0
12,523,1,0.014,0.0268,Planta Principal,Completo,0
8,523,2,0.0073,0.0073,Zona Caliente,Básico,0
6,523,4,3.4284,3.4387,Perímetro,Completo,0
8,529,1,0.0131,0.0204,Zona Técnica,Máximo,0
16,529,3,0.034,0.034,Zona Técnica,Completo,0
14,529,2,0.0115,0.0229,Zona Caliente,Completo,0
16,716,4,2.7496,2.7496,Zona Caliente,Completo,0
6,716,1,0.013,5.7671,Perímetro,Ninguno,0
9,238,1,0.0145,0.0283,Reactor Core,Completo,0
8,630,4,4.1716,4.1716,Perímetro,Máximo,0
3,630,1,0.0201,0.0201,Zona Técnica,Básico,0
12,174,1,0.0117,3.281,Reactor Core,Completo,0
6,174,1,0.0139,0.0139,Zona Técnica,Básico,0
8,691,2,0.0085,4.1801,Zona Caliente,Máximo,0
18,691,1,0.0123,0.0246,Mantenimiento,Completo,0
16,691,3,0.0204,2.77,Sala Control,Básico,0
3,37,1,0.0209,0.0363,Sala Control,Ninguno,0
5,37,1,0.0127,0.0127,Zona Caliente,Básico,0
4,37,2,0.0112,0.0112,Zona Caliente,Máximo,0
3,369,1,0.0123,0.0123,Zona Caliente,Completo,0
9,369,4,3.3914,3.3914,Planta Principal,Básico,0
12,245,1,0.0104,3.2914,Perímetro,Completo,0
3,245,5,0.0149,0.0149,Planta Principal,Básico,0
4,671,3,0.0286,0.0286,Zona Caliente,Básico,0
16,671,5,0.0059,2.7759,Mantenimiento,Básico,0
16,1,2,0.01,3.9672,Sala Control,Completo,0
4,1,4,1.1945,1.2057,Mantenimiento,Básico,0
8,1,2,0.0137,0.0137,Zona Técnica,Ninguno,0
12,162,4,0.7583,4.0497,Perímetro,Ninguno,0
14,89,4,3.5745,3.5745,Mantenimiento,Completo,0
5,89,3,0.0419,0.0546,Mantenimiento,Máximo,0
9,89,1,0.0095,4.3918,Zona Técnica,Completo,0
5,283,2,0.0117,0.0242,Mantenimiento,Completo,0
14,410,1,0.0149,0.0149,Zona Caliente,Completo,0
6,410,4,3.1906,6.5995,Zona Caliente,Completo,0
14,362,2,0.0109,0.0258,Perímetro,Completo,0
6,362,4,3.9103,10.5098,Sala Control,Máximo,0
5,362,2,0.0139,0.0314,Zona Técnica,Completo,0
14,686,4,5.012,5.012,Sala Control,Completo,0
3,686,3,0.0634,0.0835,Zona Caliente,Básico,0
