id_empleado,id_capacitacion,fecha_inicio,fecha_fin,calificacion,aprobado,certificado
3,9,2023-08-26,2023-08-30,4.1,0,
3,6,2023-03-20,2023-03-23,3.7,0,
20,1,2024-11-01,2024-11-04,7.7,1,CERT-01-0001
16,2,2024-12-22,2024-12-29,7.5,1,CERT-02-0002
3,5,2023-09-03,2023-09-09,5.6,0,
17,13,2024-03-02,2024-03-12,8.8,1,CERT-13-0004
8,11,2024-11-23,2024-11-29,7.8,1,CERT-11-0005
20,2,2022-06-05,2022-06-09,7.7,1,CERT-02-0006
13,3,2024-09-14,2024-09-23,9.5,1,CERT-03-0007
1,11,2020-11-17,2020-11-26,9.3,1,CERT-11-0008
16,14,2020-12-04,2020-12-06,8.9,1,CERT-14-0009
11,4,2021-11-08,2021-11-13,5.7,0,
8,9,2023-08-10,2023-08-17,7.3,1,CERT-09-0011
8,2,2022-07-29,2022-08-06,9.1,1,CERT-02-0012
15,2,2024-10-20,2024-10-28,7.5,1,CERT-02-0013
4,8,2024-03-06,2024-03-07,6.0,1,CERT-08-0014
14,1,2023-02-15,2023-02-24,5.5,0,
3,13,2023-05-22,2023-06-01,8.4,1,CERT-13-0016
17,9,2021-02-27,2021-03-07,9.8,1,CERT-09-0017
12,14,2020-04-21,2020-04-25,9.3,1,CERT-14-0018
11,9,2024-04-20,2024-04-30,8.2,1,CERT-09-0019
12,12,2022-07-15,2022-07-17,5.9,0,
8,1,2021-11-30,2021-12-06,9.2,1,CERT-01-0021
10,9,2022-12-05,2022-12-11,8.7,1,CERT-09-0022
2,15,2020-12-02,2020-12-10,6.1,1,CERT-15-0023
14,2,2021-06-04,2021-06-14,6.4,1,CERT-02-0024
4,15,2024-10-11,2024-10-18,6.5,1,CERT-15-0025
7,12,2021-11-23,2021-11-25,8.9,1,CERT-12-0026
19,2,2024-04-30,2024-05-08,7.6,1,CERT-02-0027
19,9,2020-10-02,2020-10-10,5.5,0,
2,9,2022-06-05,2022-06-15,7.7,1,CERT-09-0029
6,12,2023-03-30,2023-04-02,8.8,1,CERT-12-0030
5,2,2022-03-04,2022-03-14,8.2,1,CERT-02-0031
13,7,2023-06-01,2023-06-05,6.7,1,CERT-07-0032
11,5,2022-07-16,2022-07-19,6.1,1,CERT-05-0033
20,12,2024-12-20,2024-12-29,6.8,1,CERT-12-0034
18,14,2021-10-04,2021-10-13,8.3,1,CERT-14-0035
7,4,2023-07-02,2023-07-07,8.6,1,CERT-04-0036
