id_turno,id_reactor,id_empleado,id_material,id_incidente,id_mantenimiento,energia_generada_mw,temperatura_nucleo,nivel_radiacion_msv,cantidad_material,costo_operacion,horas_operativas,donuts_consumidos,eficiencia_pct
668,2,8,4,,,766.73,283.88,0.01,841.19,43418.99,6.0,7,98.3
179,2,3,3,,,748.46,288.63,0.0081,1220.75,54529.67,8.0,6,95.96
5,2,6,2,,,785.45,276.3,0.0395,971.11,48150.82,8.0,7,100.7
199,1,5,3,70,,765.65,277.17,0.0373,737.52,39080.55,8.0,5,90.08
258,1,16,1,15,,753.8,283.44,0.006,2526.3,48298.07,8.0,1,88.68
607,2,14,3,,,777.49,286.91,0.0131,833.73,40202.66,8.0,3,99.68
423,4,14,5,7,,908.26,296.07,0.0126,1310.33,50188.67,6.0,2,95.61
469,3,9,8,29,,386.71,319.23,0.0189,1466.69,33412.54,6.0,3,64.45
779,1,8,2,,,818.5,290.87,0.0264,307.23,41398.71,8.0,8,96.29
535,2,6,4,,,714.71,286.36,0.0136,3312.15,44545.92,4.0,3,91.63
588,4,14,8,4,,134.14,692.07,1.769,2834.96,170290.69,6.0,0,14.12
714,4,16,7,21,,904.97,275.04,0.0054,1257.63,52635.73,8.0,3,95.26
245,2,4,2,68,,717.31,283.43,0.0312,2702.56,38488.27,6.0,7,91.96
721,2,9,4,,,686.54,275.0,0.027,119.34,45697.59,4.0,5,88.02
437,3,18,4,,,377.0,325.83,0.0628,3108.48,31370.29,8.0,5,62.83
114,2,16,2,52,,704.17,285.22,0.0298,1891.02,42094.25,8.0,5,90.28
665,2,18,3,,,763.55,286.92,0.0162,973.62,55958.66,6.0,8,97.89
65,2,16,4,71,,770.52,278.32,0.0339,1291.67,55989.02,4.0,7,98.78
690,5,4,10,,,46.98,289.84,0.0078,387.23,55958.92,8.0,4,93.96
283,1,5,3,22,,770.57,289.64,0.0196,1216.72,51648.07,6.0,2,90.66
455,3,3,8,27,,364.63,323.07,0.0693,2027.57,42990.51,6.0,2,60.77
672,2,9,4,,,757.06,287.49,0.0345,466.18,46905.13,4.0,4,97.06
314,1,8,2,68,,855.27,288.31,0.0174,3234.84,47118.53,4.0,2,100.62
729,2,5,3,,,756.66,285.53,0.0283,148.82,41069.7,8.0,3,97.01
325,2,16,7,52,,707.2,284.85,0.0392,3414.25,40958.88,4.0,7,90.67
547,1,3,3,,,832.92,276.59,0.0382,20.01,56556.23,8.0,6,97.99
757,2,17,7,,,716.37,304.79,0.0314,2551.26,57881.31,4.0,2,91.84
453,1,4,3,,,763.41,275.14,0.0243,2943.86,44161.64,4.0,6,89.81
457,2,9,2,,,706.19,275.0,0.0318,2973.83,41914.31,4.0,1,90.54
694,3,4,9,28,,426.73,316.18,0.0763,522.07,52711.17,6.0,2,71.12
438,2,9,2,40,,722.03,285.69,0.0392,2548.85,55486.03,8.0,1,92.57
455,3,14,9,41,,529.19,328.96,0.0425,2094.79,52410.72,4.0,1,88.2
148,1,16,7,10,,854.09,288.13,0.0193,1947.57,56288.21,8.0,6,100.48
728,2,5,3,27,,725.11,284.56,0.0244,1067.18,38844.66,4.0,4,92.96
573,3,6,3,,,392.35,305.51,0.0566,1462.96,45914.02,8.0,0,65.39
504,5,6,10,17,,45.8,290.97,0.0311,2199.85,49621.32,8.0,6,91.6
488,5,4,3,72,,47.74,287.89,0.0346,1122.29,41256.94,8.0,0,95.48
710,1,5,1,39,,794.36,294.39,0.0151,682.38,48592.25,4.0,1,93.45
644,1,4,2,77,,844.4,284.06,0.0339,2400.63,51699.34,8.0,4,99.34
705,2,17,7,,,687.71,280.32,0.022,766.48,44806.26,8.0,2,88.17
516,1,6,1,59,,849.22,287.12,0.0091,1221.99,40624.64,6.0,0,99.91
708,2,16,7,25,,717.29,287.86,0.0095,443.08,51884.88,8.0,3,91.96
134,5,14,9,,,44.73,283.98,0.0057,691.25,47685.1,8.0,6,89.46
34,3,17,3,66,,550.79,296.51,0.0346,3220.74,30256.81,8.0,0,91.8
211,2,6,3,,,689.37,296.08,0.0147,2993.71,49595.03,8.0,5,88.38
747,2,17,2,14,,745.02,298.5,0.0055,605.35,42339.96,8.0,3,95.52
773,2,4,3,,,772.72,275.77,0.0115,2922.42,51470.51,8.0,1,99.07
389,2,17,3,58,,763.61,289.96,0.016,1737.88,47318.03,8.0,8,97.9
370,3,17,3,12,,463.68,308.47,0.0447,794.43,48404.36,6.0,5,77.28
418,1,14,2,,,846.87,294.12,0.0179,1390.31,38255.72,8.0,7,99.63
536,3,4,3,21,,444.13,315.67,0.0216,1276.17,53132.26,8.0,1,74.02
204,1,18,3,18,,840.61,275.0,0.0304,1249.56,43570.37,6.0,4,98.9
683,2,14,4,72,,701.34,284.08,0.0221,353.11,42616.44,8.0,2,89.92
55,4,16,8,,,883.26,289.15,0.0288,2315.48,41054.73,8.0,1,92.97
533,3,16,4,42,,464.56,312.67,0.0503,66.76,50237.04,4.0,4,77.43
783,1,14,1,54,,782.76,281.67,0.0062,1722.72,49133.33,8.0,4,92.09
138,1,14,3,,,810.86,294.22,0.0222,1647.02,49075.68,4.0,8,95.4
576,4,17,8,34,,897.09,298.9,0.0173,103.37,57555.66,8.0,5,94.43
47,1,9,7,,,812.53,285.98,0.0318,1501.38,50503.06,8.0,6,95.59
366,2,3,3,35,,752.12,275.0,0.0073,598.38,44098.25,8.0,6,96.43
552,1,16,3,80,,847.61,278.35,0.0143,1325.19,51919.17,8.0,0,99.72
400,1,4,3,15,,822.6,283.14,0.0318,3393.15,44790.79,8.0,4,96.78
207,2,4,3,41,,691.22,296.11,0.0399,2601.39,46040.55,4.0,3,88.62
95,3,18,3,,,417.41,314.82,0.0495,2282.12,40677.65,8.0,2,69.57
310,2,8,4,,,718.17,282.77,0.023,3083.73,51431.2,8.0,8,92.07
643,3,5,9,30,,562.04,320.98,0.0454,2985.45,53429.07,4.0,4,93.67
445,5,3,9,29,,47.01,291.12,0.0134,2955.21,52928.67,8.0,6,94.02
421,1,4,2,,,777.5,286.91,0.029,529.12,42722.6,8.0,3,91.47
29,1,8,3,68,,857.54,292.61,0.0198,958.13,56113.11,8.0,3,100.89
30,1,8,2,,,752.67,285.6,0.0069,1046.44,55930.11,4.0,5,88.55
66,5,14,3,,,49.76,275.0,0.0189,396.2,54796.21,8.0,2,99.52
753,2,4,7,70,,695.55,276.84,0.016,3274.57,54646.68,8.0,6,89.17
224,1,5,2,,,796.56,279.91,0.0139,1314.59,49789.62,4.0,7,93.71
116,1,14,3,,,854.45,301.67,0.0177,2260.66,52313.42,8.0,4,100.52
621,1,3,2,36,,790.51,275.07,0.0274,1874.51,52012.34,8.0,6,93.0
243,4,14,8,78,,112.0,771.64,3.5443,1044.49,95342.56,8.0,0,11.79
165,5,9,9,57,,44.22,297.95,0.0379,2512.26,47421.83,8.0,6,88.44
103,4,8,8,30,,910.36,276.92,0.0335,2668.1,52755.71,8.0,7,95.83
657,2,16,3,1,,706.69,284.42,0.0089,2401.71,42992.07,4.0,2,90.6
328,2,5,7,25,,746.53,297.85,0.0165,1289.76,43635.95,6.0,1,95.71
403,4,18,5,2,,838.84,277.73,0.013,919.93,39779.53,8.0,7,88.3
173,1,18,3,,,764.49,284.04,0.0385,2516.45,41402.46,8.0,1,89.94
446,3,16,9,17,,509.85,301.67,0.071,1340.35,49553.05,6.0,2,84.97
442,4,18,5,,,870.95,284.32,0.0193,828.02,40918.86,8.0,4,91.68
462,5,9,9,,,46.98,280.53,0.0054,2405.55,40664.1,6.0,5,93.96
731,2,14,7,11,,742.88,305.52,0.0215,891.53,45086.03,8.0,0,95.24
635,2,14,7,19,,776.87,293.95,0.0064,1727.48,41587.44,4.0,2,99.6
348,4,5,8,27,,901.51,290.51,0.0065,3242.2,40557.43,8.0,4,94.9
290,5,8,9,,,50.02,291.1,0.0231,2580.36,46715.51,8.0,2,100.04
504,3,5,9,8,,391.21,303.05,0.0173,1530.32,36505.6,6.0,5,65.2
507,1,9,3,65,,760.43,287.14,0.0172,2923.16,42074.67,8.0,4,89.46
768,2,8,3,,,784.92,283.55,0.0234,865.32,49415.76,8.0,6,100.63
511,3,9,3,40,,566.08,299.27,0.0393,542.45,53228.71,8.0,0,94.35
84,2,16,4,,,713.71,284.09,0.0065,3316.23,50447.3,8.0,7,91.5
752,5,18,10,30,,44.32,282.01,0.0275,1917.31,44463.42,8.0,0,88.64
617,2,14,7,25,,784.26,290.3,0.0348,2266.85,41258.81,8.0,6,100.55
670,1,8,3,,,829.32,285.41,0.0373,2330.99,56074.69,8.0,2,97.57
377,2,16,4,,,734.71,280.26,0.0315,2209.25,54219.89,6.0,2,94.19
96,1,9,3,,,819.56,284.76,0.03,298.48,56613.35,4.0,8,96.42
480,2,16,7,21,,699.36,300.59,0.0233,272.48,43909.63,4.0,0,89.66
47,2,17,4,58,,733.52,279.2,0.0302,2051.56,54256.5,8.0,5,94.04
516,1,16,2,,,841.14,295.97,0.0297,2185.22,44278.93,6.0,7,98.96
272,1,5,2,26,,830.55,290.33,0.0261,1872.64,55432.32,6.0,1,97.71
6,2,3,3,,,733.06,278.31,0.031,2166.66,52518.23,8.0,6,93.98
632,2,14,7,13,,700.1,294.58,0.0117,736.26,54319.36,8.0,3,89.76
665,1,6,3,,,842.83,284.7,0.0319,412.02,40963.31,8.0,6,99.16
157,3,16,9,67,,540.56,315.48,0.0281,1171.81,44235.76,8.0,3,90.09
106,2,14,4,,,761.14,287.19,0.0259,1708.8,49086.09,8.0,4,97.58
498,2,18,4,33,,692.56,298.41,0.0244,413.71,43356.98,6.0,6,88.79
638,5,9,3,,,44.14,289.25,0.0151,816.2,41844.03,6.0,5,88.28
225,2,9,4,19,,716.15,283.13,0.0342,2800.14,51462.15,6.0,5,91.81
166,2,8,2,,,699.49,275.0,0.012,3300.98,50114.98,6.0,1,89.68
506,1,6,1,,,787.65,287.18,0.0111,2824.82,55189.23,8.0,8,92.66
346,2,18,3,17,,709.12,300.0,0.014,2696.48,44806.48,8.0,5,90.91
571,1,5,1,,,850.39,279.82,0.0345,2135.75,40218.62,4.0,1,100.05
105,4,3,8,15,,850.58,291.37,0.0122,2480.03,45232.77,8.0,6,89.53
781,2,4,3,,,720.33,298.08,0.0204,2922.67,46315.0,8.0,0,92.35
486,1,17,2,12,,789.15,299.84,0.0314,2637.46,45212.87,8.0,3,92.84
543,2,6,3,,,728.32,280.54,0.0348,1551.81,53892.15,8.0,5,93.37
11,3,17,3,12,,426.11,329.37,0.0257,3159.28,31536.71,8.0,0,71.02
60,5,17,3,59,,49.76,292.78,0.0295,32.62,55470.93,8.0,5,99.52
287,5,18,10,,,46.9,290.79,0.0326,2715.02,51040.74,6.0,5,93.8
309,1,17,7,55,,827.44,297.64,0.0358,752.0,48409.39,8.0,8,97.35
524,2,17,7,,,702.63,302.06,0.0257,3454.41,42826.8,6.0,4,90.08
114,3,9,8,,,434.44,296.67,0.0573,2580.32,33118.75,4.0,2,72.41
465,1,6,2,50,,779.44,290.49,0.0325,1821.23,52297.09,6.0,2,91.7
254,1,17,2,,,787.92,298.3,0.034,3110.34,39638.94,6.0,0,92.7
488,1,4,7,,,792.5,295.29,0.0246,1748.4,53576.49,4.0,4,93.24
434,5,16,9,,,49.35,290.57,0.0299,417.61,40587.7,4.0,8,98.7
218,2,3,3,,,723.85,291.29,0.0383,390.62,50032.0,6.0,6,92.8
379,2,3,3,17,,717.32,283.3,0.006,1479.04,40857.39,4.0,6,91.96
313,4,6,5,70,,896.37,292.74,0.0093,1686.71,44972.98,6.0,0,94.35
318,2,9,4,67,,759.41,277.33,0.0227,525.69,47218.72,6.0,7,97.36
746,1,18,3,55,,847.48,279.64,0.0169,2262.48,38916.39,8.0,7,99.7
170,3,18,8,79,,385.99,314.58,0.0275,3350.74,45467.6,8.0,4,64.33
535,1,16,1,17,,851.45,288.67,0.0325,2825.19,42905.73,8.0,7,100.17
622,1,18,1,69,,851.19,289.42,0.0169,1114.25,41610.16,4.0,0,100.14
264,1,4,2,40,,768.18,288.53,0.0383,3364.13,51572.17,4.0,0,90.37
186,1,3,7,55,,783.36,283.4,0.0194,3295.81,44484.36,6.0,6,92.16
124,1,6,2,70,,831.14,285.03,0.0071,1697.18,47296.47,8.0,6,97.78
418,2,3,7,78,,745.84,290.62,0.0086,1069.62,53259.57,8.0,6,95.62
417,2,17,3,,,700.84,283.3,0.0136,151.06,57052.25,6.0,8,89.85
476,5,18,3,,,45.09,286.78,0.0071,881.86,56436.21,4.0,4,90.18
697,2,9,3,,,738.15,300.58,0.0247,2907.59,44012.77,8.0,6,94.63
743,2,8,4,30,,737.59,291.7,0.0331,3428.84,55678.63,8.0,5,94.56
725,2,6,7,48,,733.02,286.84,0.0292,1670.47,50928.87,4.0,0,93.98
10,3,14,9,,,473.01,322.56,0.0572,2354.5,31938.08,6.0,0,78.83
362,5,14,9,51,,45.15,287.16,0.0319,1622.11,51940.6,8.0,0,90.3
198,2,6,2,,,755.41,286.68,0.0336,3430.52,50504.73,8.0,3,96.85
372,1,16,2,1,,856.76,282.95,0.0273,1753.64,40218.93,4.0,4,100.8
175,2,18,3,10,,699.4,293.69,0.0249,675.52,42559.3,8.0,8,89.67
695,1,17,7,,,845.58,290.47,0.0051,1516.76,46542.29,8.0,0,99.48
417,1,17,3,70,,805.16,300.31,0.0066,1110.27,56367.83,6.0,8,94.72
402,1,4,1,,,772.93,291.45,0.0291,579.86,57155.51,8.0,3,90.93
319,1,4,1,68,,837.29,278.62,0.0167,838.07,43008.19,6.0,1,98.5
349,4,9,5,,,931.81,281.84,0.0267,441.27,53281.97,4.0,7,98.09
63,5,14,3,,,48.51,288.58,0.0331,360.89,39095.78,8.0,6,97.02
58,2,8,4,57,,748.99,285.2,0.0194,1346.8,55291.65,6.0,0,96.02
439,4,18,8,29,,951.79,289.81,0.0165,2085.14,41849.63,8.0,1,100.19
70,2,6,3,,,712.39,279.39,0.0197,854.82,52492.46,8.0,7,91.33
46,1,8,3,72,,820.01,281.37,0.0239,2113.64,40912.49,8.0,7,96.47
299,2,3,3,9,,737.82,296.26,0.0342,1206.64,55174.04,6.0,6,94.59
206,2,6,2,48,,754.12,280.29,0.026,1052.21,44622.91,4.0,5,96.68
337,1,16,1,70,,849.65,275.0,0.0274,749.92,51864.41,4.0,7,99.96
493,3,9,9,29,,398.69,329.65,0.0386,407.59,31843.28,4.0,0,66.45
298,2,18,7,7,,689.41,289.59,0.036,864.65,52376.73,4.0,5,88.39
201,1,8,1,3,,822.86,292.69,0.0183,3276.72,53748.28,8.0,1,96.81
313,2,9,7,,,781.83,315.59,0.0359,509.79,55567.76,8.0,1,100.23
134,3,6,9,,,426.77,310.03,0.0563,665.91,53025.34,4.0,4,71.13
549,1,5,7,35,,817.56,284.0,0.0148,3100.99,40529.17,4.0,8,96.18
215,3,16,3,24,,441.5,325.88,0.0638,630.6,39356.65,6.0,4,73.58
