id_material,fecha,cantidad,stock_minimo,stock_maximo,ubicacion_almacen
1,2022-01-01,1569.24,400.0,1800.0,Almacén Nuclear A
1,2022-04-01,1673.11,400.0,1800.0,Almacén Nuclear A
1,2022-06-30,1947.85,400.0,1800.0,Almacén Nuclear A
1,2022-09-28,754.37,400.0,1800.0,Almacén Nuclear A
1,2022-12-27,854.93,400.0,1800.0,Almacén Nuclear A
1,2023-06-25,371.12,400.0,1800.0,Almacén Nuclear A
2,2022-01-01,168.51,60.0,280.0,Almacén Nuclear A
2,2022-04-01,273.91,60.0,280.0,Almacén Nuclear A
2,2022-06-30,209.27,60.0,280.0,Almacén Nuclear A
2,2022-09-28,148.87,60.0,280.0,Almacén Nuclear A
2,2022-12-27,77.24,60.0,280.0,Almacén Nuclear A
2,2023-06-25,12.71,60.0,280.0,Almacén Nuclear A
3,2022-01-01,20533.56,15000.0,180000.0,Tanque Refrigeración 1
3,2022-04-01,24754.89,15000.0,180000.0,Tanque Refrigeración 1
3,2022-06-30,116108.09,15000.0,180000.0,Tanque Refrigeración 1
3,2022-09-28,100338.49,15000.0,180000.0,Tanque Refrigeración 1
3,2022-12-27,190040.87,15000.0,180000.0,Tanque Refrigeración 1
3,2023-06-25,156566.67,15000.0,180000.0,Tanque Refrigeración 1
4,2022-01-01,2806.42,3000.0,28000.0,Tanque Refrigeración 2
4,2022-04-01,21873.14,3000.0,28000.0,Tanque Refrigeración 2
4,2022-06-30,27200.51,3000.0,28000.0,Tanque Refrigeración 2
4,2022-09-28,19543.5,3000.0,28000.0,Tanque Refrigeración 2
4,2022-12-27,14028.49,3000.0,28000.0,Tanque Refrigeración 2
4,2023-06-25,29332.35,3000.0,28000.0,Tanque Refrigeración 2
5,2022-01-01,264.13,0.0,900.0,Depósito Residuos Z9
5,2022-04-01,50.08,0.0,900.0,Depósito Residuos Z9
5,2022-06-30,813.18,0.0,900.0,Depósito Residuos Z9
5,2022-09-28,874.14,0.0,900.0,Depósito Residuos Z9
5,2022-12-27,852.25,0.0,900.0,Depósito Residuos Z9
5,2023-06-25,360.21,0.0,900.0,Depósito Residuos Z9
6,2022-01-01,338.38,0.0,450.0,Depósito Residuos Z9
6,2022-04-01,213.0,0.0,450.0,Depósito Residuos Z9
6,2022-06-30,57.95,0.0,450.0,Depósito Residuos Z9
6,2022-09-28,425.62,0.0,450.0,Depósito Residuos Z9
6,2022-12-27,445.15,0.0,450.0,Depósito Residuos Z9
6,2023-06-25,4.84,0.0,450.0,Depósito Residuos Z9
7,2022-01-01,123.64,80.0,750.0,Almacén Químico B
7,2022-04-01,523.05,80.0,750.0,Almacén Químico B
7,2022-06-30,273.0,80.0,750.0,Almacén Químico B
7,2022-09-28,717.2,80.0,750.0,Almacén Químico B
7,2022-12-27,764.74,80.0,750.0,Almacén Químico B
7,2023-06-25,225.62,80.0,750.0,Almacén Químico B
8,2022-01-01,2207.21,150.0,2800.0,Almacén General
8,2022-04-01,1136.69,150.0,2800.0,Almacén General
8,2022-06-30,1047.89,150.0,2800.0,Almacén General
8,2022-09-28,368.08,150.0,2800.0,Almacén General
8,2022-12-27,1218.74,150.0,2800.0,Almacén General
8,2023-06-25,1385.92,150.0,2800.0,Almacén General
9,2022-01-01,418.84,30.0,480.0,Almacén Mantenimiento
9,2022-04-01,346.81,30.0,480.0,Almacén Mantenimiento
9,2022-06-30,242.25,30.0,480.0,Almacén Mantenimiento
9,2022-09-28,214.34,30.0,480.0,Almacén Mantenimiento
9,2022-12-27,443.75,30.0,480.0,Almacén Mantenimiento
9,2023-06-25,88.39,30.0,480.0,Almacén Mantenimiento
10,2022-01-01,44.41,48.0,260.0,Cafetería / Casillero Homer
10,2022-04-01,211.18,48.0,260.0,Cafetería / Casillero Homer
10,2022-06-30,282.82,48.0,260.0,Cafetería / Casillero Homer
10,2022-09-28,244.29,48.0,260.0,Cafetería / Casillero Homer
10,2022-12-27,36.32,48.0,260.0,Cafetería / Casillero Homer
10,2023-06-25,263.07,48.0,260.0,Cafetería / Casillero Homer
