id_turno,fecha,hora_inicio,hora_fin,tipo_turno
1,2020-01-06,06:00:00,14:00:00,Mañana
2,2020-01-06,14:00:00,22:00:00,Tarde
3,2020-01-06,22:00:00,06:00:00,Noche
4,2020-01-13,06:00:00,14:00:00,Mañana
5,2020-01-13,14:00:00,22:00:00,Tarde
6,2020-01-13,22:00:00,06:00:00,Noche
7,2020-01-20,06:00:00,14:00:00,Mañana
8,2020-01-20,14:00:00,22:00:00,Tarde
9,2020-01-20,22:00:00,06:00:00,Noche
10,2020-01-27,06:00:00,14:00:00,Mañana
11,2020-01-27,14:00:00,22:00:00,Tarde
12,2020-01-27,22:00:00,06:00:00,Noche
13,2020-02-03,06:00:00,14:00:00,Mañana
14,2020-02-03,14:00:00,22:00:00,Tarde
15,2020-02-03,22:00:00,06:00:00,Noche
16,2020-02-10,06:00:00,14:00:00,Mañana
17,2020-02-10,14:00:00,22:00:00,Tarde
18,2020-02-10,22:00:00,06:00:00,Noche
19,2020-02-17,06:00:00,14:00:00,Mañana
20,2020-02-17,14:00:00,22:00:00,Tarde
21,2020-02-17,22:00:00,06:00:00,Noche
22,2020-02-24,06:00:00,14:00:00,Mañana
23,2020-02-24,14:00:00,22:00:00,Tarde
24,2020-02-24,22:00:00,06:00:00,Noche
25,2020-03-02,06:00:00,14:00:00,Mañana
26,2020-03-02,14:00:00,22:00:00,Tarde
27,2020-03-02,22:00:00,06:00:00,Noche
28,2020-03-09,06:00:00,14:00:00,Mañana
29,2020-03-09,14:00:00,22:00:00,Tarde
30,2020-03-09,22:00:00,06:00:00,Noche
31,2020-03-16,06:00:00,14:00:00,Mañana
32,2020-03-16,14:00:00,22:00:00,Tarde
33,2020-03-16,22:00:00,06:00:00,Noche
34,2020-03-23,06:00:00,14:00:00,Mañana
35,2020-03-23,14:00:00,22:00:00,Tarde
36,2020-03-23,22:00:00,06:00:00,Noche
37,2020-03-30,06:00:00,14:00:00,Mañana
38,2020-03-30,14:00:00,22:00:00,Tarde
39,2020-03-30,22:00:00,06:00:00,Noche
40,2020-04-06,06:00:00,14:00:00,Mañana
41,2020-04-06,14:00:00,22:00:00,Tarde
42,2020-04-06,22:00:00,06:00:00,Noche
43,2020-04-13,06:00:00,14:00:00,Mañana
44,2020-04-13,14:00:00,22:00:00,Tarde
45,2020-04-13,22:00:00,06:00:00,Noche
46,2020-04-20,06:00:00,14:00:00,Mañana
47,2020-04-20,14:00:00,22:00:00,Tarde
48,2020-04-20,22:00:00,06:00:00,Noche
49,2020-04-27,06:00:00,14:00:00,Mañana
50,2020-04-27,14:00:00,22:00:00,Tarde
51,2020-04-27,22:00:00,06:00:00,Noche
52,2020-05-04,06:00:00,14:00:00,Mañana
53,2020-05-04,14:00:00,22:00:00,Tarde
54,2020-05-04,22:00:00,06:00:00,Noche
55,2020-05-11,06:00:00,14:00:00,Mañana
56,2020-05-11,14:00:00,22:00:00,Tarde
57,2020-05-11,22:00:00,06:00:00,Noche
58,2020-05-18,06:00:00,14:00:00,Mañana
59,2020-05-18,14:00:00,22:00:00,Tarde
60,2020-05-18,22:00:00,06:00:00,Noche
61,2020-05-25,06:00:00,14:00:00,Mañana
62,2020-05-25,14:00:00,22:00:00,Tarde
63,2020-05-25,22:00:00,06:00:00,Noche
64,2020-06-01,06:00:00,14:00:00,Mañana
65,2020-06-01,14:00:00,22:00:00,Tarde
66,2020-06-01,22:00:00,06:00:00,Noche
67,2020-06-08,06:00:00,14:00:00,Mañana
68,2020-06-08,14:00:00,22:00:00,Tarde
69,2020-06-08,22:00:00,06:00:00,Noche
70,2020-06-15,06:00:00,14:00:00,Mañana
71,2020-06-15,14:00:00,22:00:00,Tarde
72,2020-06-15,22:00:00,06:00:00,Noche
73,2020-06-22,06:00:00,14:00:00,Mañana
74,2020-06-22,14:00:00,22:00:00,Tarde
75,2020-06-22,22:00:00,06:00:00,Noche
76,2020-06-29,06:00:00,14:00:00,Mañana
77,2020-06-29,14:00:00,22:00:00,Tarde
78,2020-06-29,22:00:00,06:00:00,Noche
79,2020-07-06,06:00:00,14:00:00,Mañana
80,2020-07-06,14:00:00,22:00:00,Tarde
81,2020-07-06,22:00:00,06:00:00,Noche
82,2020-07-13,06:00:00,14:00:00,Mañana
83,2020-07-13,14:00:00,22:00:00,Tarde
84,2020-07-13,22:00:00,06:00:00,Noche
85,2020-07-20,06:00:00,14:00:00,Mañana
86,2020-07-20,14:00:00,22:00:00,Tarde
87,2020-07-20,22:00:00,06:00:00,Noche
88,2020-07-27,06:00:00,14:00:00,Mañana
89,2020-07-27,14:00:00,22:00:00,Tarde
90,2020-07-27,22:00:00,06:00:00,Noche
91,2020-08-03,06:00:00,14:00:00,Mañana
92,2020-08-03,14:00:00,22:00:00,Tarde
93,2020-08-03,22:00:00,06:00:00,Noche
94,2020-08-10,06:00:00,14:00:00,Mañana
95,2020-08-10,14:00:00,22:00:00,Tarde
96,2020-08-10,22:00:00,06:00:00,Noche
97,2020-08-17,06:00:00,14:00:00,Mañana
98,2020-08-17,14:00:00,22:00:00,Tarde
99,2020-08-17,22:00:00,06:00:00,Noche
100,2020-08-24,06:00:00,14:00:00,Mañana
101,2020-08-24,14:00:00,22:00:00,Tarde
102,2020-08-24,22:00:00,06:00:00,Noche
103,2020-08-31,06:00:00,14:00:00,Mañana
104,2020-08-31,14:00:00,22:00:00,Tarde
105,2020-08-31,22:00:00,06:00:00,Noche
106,2020-09-07,06:00:00,14:00:00,Mañana
107,2020-09-07,14:00:00,22:00:00,Tarde
108,2020-09-07,22:00:00,06:00:00,Noche
109,2020-09-14,06:00:00,14:00:00,Mañana
110,2020-09-14,14:00:00,22:00:00,Tarde
111,2020-09-14,22:00:00,06:00:00,Noche
112,2020-09-21,06:00:00,14:00:00,Mañana
