fecha,tipo,descripcion,monto_usd,organismo,id_incidente,id_reactor,estado,fecha_limite
2023-02-28,Multa,"""Fallo en prueba de sistema SCRAM""",42299.87,OSHA,42,4,Cancelada,2023-08-25
2021-10-09,Multa,"""Documentación de seguridad incompleta""",323280.96,FEMA,,2,Cancelada,2021-12-16
2021-09-27,Multa,"""Fallo en prueba de sistema SCRAM""",154896.12,EPA,46,1,Pendiente,2022-02-22
2022-11-04,Multa,"""Plan de evacuación desactualizado""",42981.85,NRC,56,4,Apelada,2023-03-12
2021-10-20,Multa,"""Mantenimiento no realizado en fecha prevista""",448459.0,EPA,59,4,Pagada,2022-03-20
2022-10-30,Advertencia,"""Exceso de límite de radiación en empleado""",3484.05,FEMA,65,2,Apelada,2023-01-12
2022-03-04,Multa,"""Exceso de límite de radiación en empleado""",264413.93,OSHA,,2,Pagada,2022-07-16
2023-10-21,Advertencia,"""Violación protocolo de reporte en 24 horas""",19941.45,OSHA,9,1,Pagada,2024-02-26
2023-09-21,Multa,"""Fallo en prueba de sistema SCRAM""",482382.96,OSHA,8,1,Pagada,2023-11-26
2021-09-26,Suspension,"""Fallo en prueba de sistema SCRAM""",110802.4,NRC,,3,Pagada,2022-03-18
2022-12-14,Multa,"""Sensor de radiación sin calibración""",336707.62,OSHA,62,4,Apelada,2023-02-05
2024-04-18,Advertencia,"""Falta de equipo de protección en zona caliente""",1437.53,EPA,31,,Pagada,2024-09-19
2024-09-06,Multa,"""Sensor de radiación sin calibración""",43196.72,FEMA,70,1,Apelada,2025-02-17
2024-04-28,Multa,"""Documentación de seguridad incompleta""",69869.28,NRC,75,1,Pagada,2024-07-09
2024-03-13,Advertencia,"""Falta de equipo de protección en zona caliente""",17232.71,NRC,26,2,Pendiente,2024-08-04
2022-06-21,Multa,"""Exceso de límite de radiación en empleado""",452467.3,NRC,52,4,Pendiente,2022-11-16
2020-10-10,Advertencia,"""Almacenamiento inadecuado de residuos""",13659.03,OSHA,73,4,Cancelada,2021-01-12
2021-08-06,Multa,"""Falta de equipo de protección en zona caliente""",279497.67,EPA,77,4,Pendiente,2021-09-26
2022-07-12,Advertencia,"""Almacenamiento inadecuado de residuos""",4536.37,NRC,20,,Pagada,2022-11-08
2020-02-27,Suspension,"""Incidente no reportado a tiempo""",85260.92,EPA,34,,Pendiente,2020-06-17
2022-08-25,Suspension,"""Fallo en prueba de sistema SCRAM""",63587.75,DOE,,1,Pendiente,2022-10-29
2023-01-28,Advertencia,"""Documentación de seguridad incompleta""",1126.03,EPA,76,2,Pendiente,2023-07-12
2022-07-25,Multa,"""Vertimiento sin tratamiento previo""",154069.84,OSHA,72,2,Pendiente,2022-09-09
2021-08-19,Multa,"""Documentación de seguridad incompleta""",270346.62,FEMA,65,3,Pagada,2022-01-05
2020-05-18,Multa,"""Documentación de seguridad incompleta""",211200.96,NRC,,1,Pagada,2020-10-29
2022-02-03,Advertencia,"""Almacenamiento inadecuado de residuos""",14299.65,OSHA,58,3,Pagada,2022-05-08
2024-02-14,Advertencia,"""Operación sin licencia vigente de personal""",9275.26,NRC,70,4,Pagada,2024-06-08
